Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals
2026-07-31,Dundee United,Rangers,1,1
2026-08-01,Aberdeen,Hearts,2,1
2026-08-01,Falkirk,St. Mirren,0,2
2026-08-02,St. Johnstone,Kilmarnock,4,3
2026-08-02,Hibernian,Motherwell,1,2
2026-08-03,Celtic,Dundee,1,0
2026-08-08,Dundee,Aberdeen,2,0
2026-08-08,St. Mirren,St. Johnstone,1,0
2026-08-09,Kilmarnock,Celtic,1,5
2026-08-09,Motherwell,Falkirk,0,0
2026-08-09,Hearts,Dundee United,4,0
2026-08-09,Rangers,Hibernian,1,2
2026-08-22,Dundee United,Dundee,0,2
2026-08-29,Celtic,Falkirk,2,1
2026-08-29,Hearts,St. Johnstone,2,1
2026-08-29,Kilmarnock,Dundee United,0,4
2026-08-30,Dundee,Hibernian,1,2
2026-08-30,St. Mirren,Motherwell,3,3
2026-08-30,Aberdeen,Rangers,0,1
2026-09-02,Falkirk,Rangers,1,2
2026-09-02,Celtic,Aberdeen,3,0
2026-09-02,Dundee,St. Johnstone,1,1
2026-09-02,Kilmarnock,St. Mirren,0,1
2026-09-02,Motherwell,Dundee United,3,0
2026-09-03,Hibernian,Hearts,1,3
